Assemblage_Name	4-2-2	6393116-0-3	794572-4848007-7707738	794572-1-7707738	0-1-1	0-1-7707738	2-0-3	2-0-7801918	9068267-1-1	0-2985804-1	794572-1-7354735	2-6515027-7801918
assemblage-477-27	0	0	0	96	136	0	75	0	0	0	0	193
assemblage-351-284	0	0	0	0	134	0	74	123	0	0	0	169
assemblage-23-364	64	0	0	0	141	0	0	57	84	0	0	154
assemblage-399-483	0	0	0	0	53	0	112	149	0	0	0	186
assemblage-302-75	0	0	0	0	174	0	0	93	62	0	0	171
assemblage-84-51	0	0	0	164	143	0	0	0	0	0	52	141
assemblage-491-54	0	0	0	150	185	0	0	0	0	0	0	165
assemblage-172-533	0	0	0	0	156	57	0	96	0	0	0	191
assemblage-476-162	0	0	0	183	137	0	0	0	0	0	58	122
assemblage-93-530	0	0	0	87	144	0	77	0	0	0	0	192
assemblage-0-244	0	0	0	94	144	0	82	0	0	0	0	180
assemblage-403-106	0	0	0	86	48	0	140	0	0	0	0	226
assemblage-274-93	0	55	0	74	0	0	155	0	0	0	0	216
assemblage-33-281	0	0	0	234	135	0	0	0	0	0	0	131
assemblage-450-377	0	0	0	133	205	0	0	0	0	0	0	162
assemblage-283-17	0	64	0	79	69	0	148	0	0	0	0	140
assemblage-179-533	0	0	0	180	140	0	0	0	0	0	76	104
assemblage-103-491	0	0	0	0	179	0	0	98	0	0	0	223
assemblage-7-462	0	0	0	83	68	0	142	66	0	0	0	141
assemblage-554-355	0	0	0	0	75	0	139	152	0	0	0	134
assemblage-540-40	0	0	0	0	149	0	0	127	56	0	0	168
assemblage-376-55	50	0	0	0	108	0	0	66	102	0	0	174
assemblage-420-336	0	0	0	0	189	0	77	80	0	0	0	154
assemblage-20-228	0	0	0	213	132	0	0	0	0	0	0	155
assemblage-299-47	0	0	0	0	39	0	111	166	0	0	0	184
assemblage-38-86	0	0	0	0	129	0	0	57	128	0	0	186
assemblage-459-138	0	0	0	0	65	0	99	148	0	0	0	188
assemblage-202-361	0	42	0	103	56	0	145	0	0	0	0	154
assemblage-378-257	0	0	0	99	49	0	178	53	0	0	0	121
assemblage-431-454	0	0	0	0	102	0	92	119	0	0	0	187
assemblage-521-260	0	0	0	0	175	69	0	110	0	0	0	146
assemblage-405-424	0	0	0	0	155	0	75	102	0	0	0	168
assemblage-236-306	0	0	0	121	212	0	0	0	0	0	0	167
assemblage-254-318	0	0	0	0	204	52	0	77	0	0	0	167
assemblage-16-518	71	0	0	0	115	0	0	68	88	0	0	158
assemblage-128-336	0	0	0	0	185	0	0	75	0	0	0	240
assemblage-56-351	0	0	0	0	180	0	0	79	77	0	0	164
assemblage-175-348	0	0	0	167	76	0	0	0	0	0	84	173
assemblage-126-34	0	0	0	111	217	0	0	0	0	0	0	172
assemblage-84-338	0	0	0	174	129	0	0	0	0	0	60	137
assemblage-65-50	0	0	0	0	190	91	0	80	0	0	0	139
assemblage-233-206	0	0	0	97	146	0	82	0	0	0	0	175
assemblage-96-265	0	0	0	104	220	0	0	0	0	0	0	176
assemblage-226-160	0	55	0	0	192	0	0	64	83	0	0	106
assemblage-275-409	0	0	0	0	78	0	68	169	0	0	0	185
assemblage-100-333	0	0	0	0	138	0	99	136	0	0	0	127
assemblage-553-533	0	0	0	0	98	0	84	142	0	0	0	176
assemblage-488-551	0	0	0	127	121	0	62	0	0	0	0	190
assemblage-150-424	0	0	0	242	125	0	0	0	0	0	0	133
assemblage-459-78	0	0	0	0	185	0	55	102	0	0	0	158
assemblage-398-352	0	0	0	0	111	0	89	107	0	0	0	193
assemblage-482-162	0	0	0	91	158	0	71	0	0	0	0	180
assemblage-226-303	0	57	0	74	69	0	163	0	0	0	0	137
assemblage-163-120	0	0	0	232	83	0	0	0	0	0	0	185
assemblage-181-434	0	0	0	0	169	0	0	74	70	0	0	187
assemblage-56-34	0	53	0	0	170	0	0	124	57	0	0	96
assemblage-318-138	0	0	0	74	155	0	72	0	0	0	0	199
assemblage-311-212	0	0	0	0	74	0	97	160	0	0	0	169
assemblage-91-412	0	58	0	76	66	0	157	0	0	0	0	143
assemblage-15-137	0	0	0	136	181	0	0	0	0	0	0	183
assemblage-263-110	0	0	0	100	148	0	86	0	0	0	0	166
assemblage-469-215	0	52	0	0	168	0	0	90	62	0	0	128
assemblage-284-507	0	0	0	0	143	0	74	107	0	0	0	176
assemblage-445-138	55	0	0	0	142	0	0	54	96	0	0	153
assemblage-221-539	0	0	0	174	122	0	0	0	0	0	66	138
assemblage-519-457	0	0	0	125	181	0	0	0	0	0	0	194
assemblage-432-394	0	0	0	192	85	0	0	0	0	0	118	105
assemblage-359-445	0	46	0	84	60	0	183	0	0	0	0	127
assemblage-518-304	0	47	0	98	44	0	170	0	0	0	0	141
assemblage-140-166	0	0	0	0	144	0	72	106	0	0	0	178
assemblage-347-435	0	0	0	207	95	0	0	0	0	0	68	130
assemblage-396-435	0	0	0	0	72	0	72	174	0	0	0	182
assemblage-381-475	0	0	0	197	145	0	0	0	0	0	49	109
assemblage-103-411	0	37	0	0	154	0	0	103	68	0	0	138
assemblage-354-351	50	0	0	0	151	0	0	53	84	0	0	162
assemblage-534-349	0	61	0	0	175	0	0	93	58	0	0	113
assemblage-560-537	0	0	0	0	78	0	102	146	0	0	0	174
assemblage-212-134	0	66	0	60	67	0	164	0	0	0	0	143
assemblage-274-368	0	0	0	95	163	0	50	0	0	0	0	192
assemblage-89-506	0	0	0	0	205	54	0	74	0	0	0	167
assemblage-188-232	0	0	0	0	142	0	0	55	100	0	0	203
assemblage-109-511	0	0	0	172	153	0	0	0	0	0	71	104
assemblage-307-301	0	0	0	0	116	0	95	134	0	0	0	155
assemblage-284-439	0	0	0	101	149	0	86	0	0	0	0	164
assemblage-274-476	0	0	0	0	160	0	70	113	0	0	0	157
assemblage-232-105	0	0	0	0	152	0	73	102	0	0	0	173
assemblage-89-285	64	0	0	0	131	0	0	68	86	0	0	151
assemblage-426-333	0	0	0	0	183	55	0	102	0	0	0	160
assemblage-528-140	0	0	54	209	50	0	0	0	0	0	89	98
assemblage-176-328	0	0	0	165	146	0	0	0	0	0	88	101
assemblage-550-419	0	0	0	161	174	0	0	0	0	0	0	165
assemblage-564-205	0	0	0	0	80	0	106	142	0	0	0	172
assemblage-261-25	0	0	0	36	66	0	114	167	0	0	0	117
assemblage-450-317	0	51	0	0	165	0	0	93	54	0	0	137
assemblage-224-496	0	0	0	105	196	0	0	0	0	0	0	199
assemblage-520-220	0	58	0	0	185	0	0	86	55	0	0	116
assemblage-493-490	0	0	0	171	123	0	0	0	0	0	77	129
assemblage-313-336	0	0	0	127	180	0	0	0	0	0	0	193
assemblage-526-189	0	0	0	104	201	0	0	0	0	0	0	195
assemblage-71-155	65	0	0	0	112	0	0	71	95	0	0	157
assemblage-186-237	0	0	0	0	174	0	49	87	0	0	0	190
assemblage-428-190	0	0	0	184	144	0	0	0	0	0	57	115
assemblage-94-483	67	0	0	0	139	0	0	77	86	0	0	131
assemblage-368-91	0	0	0	177	125	0	0	0	0	0	82	116
assemblage-260-403	54	0	0	0	122	0	0	71	73	0	0	180
assemblage-195-201	0	0	0	0	72	0	102	157	0	0	0	169
assemblage-132-31	0	0	0	155	106	0	0	0	0	0	86	153
assemblage-386-538	0	0	0	0	163	0	81	114	0	0	0	142
assemblage-352-16	0	0	0	95	137	0	69	0	0	0	0	199
assemblage-325-247	0	0	0	0	204	0	0	86	44	0	0	166
assemblage-421-484	0	0	0	0	198	70	0	73	0	0	0	159
assemblage-556-105	0	56	0	0	181	0	0	76	80	0	0	107
assemblage-387-77	0	0	0	0	218	0	0	94	63	0	0	125
assemblage-328-487	0	62	0	77	65	0	169	0	0	0	0	127
assemblage-57-147	0	0	0	111	189	0	0	0	0	0	0	200
assemblage-144-19	0	0	0	0	165	0	0	106	58	0	0	171
assemblage-332-30	0	0	0	104	137	0	92	0	0	0	0	167
assemblage-23-158	0	0	0	92	154	0	77	0	0	0	0	177
assemblage-376-1	0	65	0	75	77	0	151	0	0	0	0	132
assemblage-355-250	0	0	0	0	146	0	0	50	75	0	0	229
assemblage-265-352	0	0	0	201	119	0	0	0	0	0	69	111
assemblage-450-408	0	0	0	0	112	0	61	133	0	0	0	194
assemblage-22-304	0	64	0	86	46	0	160	57	0	0	0	87
assemblage-77-82	0	58	0	92	55	0	150	42	0	0	0	103
assemblage-185-444	0	0	0	76	149	0	84	0	0	0	0	191
assemblage-145-127	0	0	0	0	126	0	95	108	0	0	0	171
assemblage-57-487	0	0	0	0	152	0	60	122	0	0	0	166
assemblage-474-545	0	0	0	80	63	0	170	55	0	0	0	132
assemblage-263-416	0	0	0	128	193	0	0	0	0	0	0	179
assemblage-505-293	0	0	0	0	163	0	76	86	0	0	0	175
assemblage-68-367	0	0	0	0	77	0	101	147	0	0	0	175
assemblage-457-279	0	0	44	204	113	0	0	0	0	0	0	139
assemblage-85-266	59	0	0	0	140	0	0	61	96	0	0	144
assemblage-524-347	0	0	0	0	88	0	82	152	0	0	0	178
assemblage-558-554	68	0	0	0	136	0	0	60	80	0	0	156
assemblage-469-474	0	62	0	100	55	0	165	0	0	0	0	118
assemblage-83-258	0	0	0	109	134	0	104	0	0	0	0	153
assemblage-6-178	0	53	0	0	186	0	0	76	63	0	0	122
assemblage-328-462	0	0	0	0	198	62	0	96	50	0	0	94
assemblage-378-478	0	64	0	83	64	0	162	0	0	0	0	127
assemblage-501-55	0	0	0	0	170	0	0	81	53	0	0	196
assemblage-506-546	0	0	0	153	144	0	0	0	0	0	68	135
assemblage-293-507	0	0	0	106	129	0	100	0	0	0	0	165
assemblage-380-345	0	0	0	0	167	0	0	93	73	0	0	167
assemblage-111-463	0	0	0	178	146	0	0	0	0	0	78	98
assemblage-140-129	64	0	0	0	116	0	0	71	86	0	0	163
assemblage-147-154	0	0	0	0	189	0	0	86	61	0	0	164
assemblage-117-503	0	0	0	144	152	0	0	0	0	0	73	131
assemblage-97-373	0	0	0	0	153	0	0	90	73	0	0	184
assemblage-496-475	0	50	0	0	190	0	52	89	51	0	0	68
assemblage-191-438	0	73	0	65	64	0	187	0	0	0	0	111
assemblage-270-283	0	0	0	203	152	0	0	0	0	0	49	96
assemblage-395-391	0	53	0	0	143	0	0	106	55	0	0	143
assemblage-344-110	0	0	0	0	208	75	0	83	0	0	0	134
assemblage-528-520	0	0	0	196	140	0	0	0	0	0	0	164
assemblage-381-537	0	0	0	0	152	0	0	106	57	0	0	185
assemblage-73-423	0	0	0	0	172	0	53	81	74	0	0	120
assemblage-179-113	0	0	0	215	106	0	0	0	0	0	58	121
assemblage-141-10	0	0	0	144	186	0	0	0	0	0	0	170
assemblage-333-500	0	0	0	48	86	0	109	134	0	0	0	123
assemblage-542-363	0	53	0	0	167	0	0	101	46	0	0	133
